region,technology,city,state,value,match_method,distance_km
p10,Coal_99%-CCS,Bakersfield,California,1.24,within,0.0
p10,Coal_Retrofits_95%-CCS,Bakersfield,California,1.24,within,0.0
p10,Coal_Retrofits_90%-CCS,Bakersfield,California,1.24,within,0.0
p10,Combustion Turbine - Simple Cycle (Aeroderivative),Bakersfield,California,1.11,within,0.0
p10,NaturalGas_Combustion Turbine,Bakersfield,California,1.14,within,0.0
p10,NaturalGas_F-Frame CT,Bakersfield,California,1.14,within,0.0
p10,NaturalGas_Combined Cycle 2-on-1,Bakersfield,California,1.15,within,0.0
p10,NaturalGas_F-Frame CC,Bakersfield,California,1.15,within,0.0
p10,NaturalGas_H-Frame CC,Bakersfield,California,1.15,within,0.0
p10,NaturalGas_Combined Cycle 1-on-1,Bakersfield,California,1.14,within,0.0
p10,NaturalGas_Combined Cycle 1-on-1 (H-Frame) 95% CCS,Bakersfield,California,1.18,within,0.0
p10,NaturalGas_Combined Cycle 1-on-1 (H-Frame) 97% CCS,Bakersfield,California,1.18,within,0.0
p10,NaturalGas_Combined Cycle 2-on-1 (F-Frame) 95% CCS,Bakersfield,California,1.18,within,0.0
p10,NaturalGas_Combined Cycle 2-on-1 (F-Frame) 97% CCS,Bakersfield,California,1.18,within,0.0
p10,NaturalGas_Combined Cycle 2-on-1 (H-Frame) 95% CCS,Bakersfield,California,1.18,within,0.0
p10,NaturalGas_Combined Cycle 2-on-1 (H-Frame) 97% CCS,Bakersfield,California,1.18,within,0.0
p10,NaturalGas_F-Frame CC 95% CCS,Bakersfield,California,1.18,within,0.0
p10,NaturalGas_H-Frame CC 95% CCS,Bakersfield,California,1.18,within,0.0
p10,NaturalGas_F-Frame CC 97% CCS,Bakersfield,California,1.18,within,0.0
p10,NaturalGas_H-Frame CC 97% CCS,Bakersfield,California,1.18,within,0.0
p10,Biopower_Dedicated,Bakersfield,California,1.19,within,0.0
p10,Nuclear_Nuclear,Bakersfield,California,1.18,within,0.0
p10,Nuclear_Nuclear - Large,Bakersfield,California,1.18,within,0.0
p10,Nuclear_SMR,Bakersfield,California,1.13,within,0.0
p10,Nuclear_Nuclear - Small,Bakersfield,California,1.13,within,0.0
p10,Geothermal,Bakersfield,California,1.14,within,0.0
p10,Hydropower,Bakersfield,California,1.18,within,0.0
p10,Pumped Storage Hydropower,Bakersfield,California,1.18,within,0.0
p10,LandBasedWind,Bakersfield,California,1.15,within,0.0
p10,Onshore Wind Repowering/Retrofit,Bakersfield,California,1.11,within,0.0
p10,OffshoreWind,Bakersfield,California,1.15,within,0.0
p10,UtilityPV,Bakersfield,California,1.09,within,0.0
p10,Solar PV w/ Single Axis Tracking + AC Coupled Battery Storage,Bakersfield,California,1.09,within,0.0
p10,"Solar PV, Single-Axis Tracking (1.6 ILR) with Battery Hybrid",Bakersfield,California,1.09,within,0.0
p10,Battery_,Bakersfield,California,1.07,within,0.0
p10,Utility-Scale Battery Storage,Bakersfield,California,1.07,within,0.0
p100,Coal_new,Alexandria,Virginia,1.07,nearest_same_state,100.4
p100,Coal_95%-CCS,Alexandria,Virginia,1.02,nearest_same_state,100.4
p100,Coal_99%-CCS,Alexandria,Virginia,1.02,nearest_same_state,100.4
p100,Coal_Retrofits_95%-CCS,Alexandria,Virginia,1.02,nearest_same_state,100.4
p100,Coal_Retrofits_90%-CCS,Alexandria,Virginia,1.02,nearest_same_state,100.4
p100,Combustion Turbine - Simple Cycle (Aeroderivative),Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,NaturalGas_Combustion Turbine,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,NaturalGas_F-Frame CT,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,NaturalGas_Combined Cycle 2-on-1,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,NaturalGas_F-Frame CC,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,NaturalGas_H-Frame CC,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,NaturalGas_Combined Cycle 1-on-1,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,NaturalGas_Combined Cycle 1-on-1 (H-Frame) 95% CCS,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,NaturalGas_Combined Cycle 1-on-1 (H-Frame) 97% CCS,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,NaturalGas_Combined Cycle 2-on-1 (F-Frame) 95% CCS,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,NaturalGas_Combined Cycle 2-on-1 (F-Frame) 97% CCS,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,NaturalGas_Combined Cycle 2-on-1 (H-Frame) 95% CCS,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,NaturalGas_Combined Cycle 2-on-1 (H-Frame) 97% CCS,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,NaturalGas_F-Frame CC 95% CCS,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,NaturalGas_H-Frame CC 95% CCS,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,NaturalGas_F-Frame CC 97% CCS,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,NaturalGas_H-Frame CC 97% CCS,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,Biopower_Dedicated,Alexandria,Virginia,1.02,nearest_same_state,100.4
p100,Nuclear_Nuclear,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,Nuclear_Nuclear - Large,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,Nuclear_SMR,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,Nuclear_Nuclear - Small,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,Geothermal,Alexandria,Virginia,,nearest_same_state,100.4
p100,Hydropower,Alexandria,Virginia,,nearest_same_state,100.4
p100,Pumped Storage Hydropower,Alexandria,Virginia,,nearest_same_state,100.4
p100,LandBasedWind,Alexandria,Virginia,1.02,nearest_same_state,100.4
p100,Onshore Wind Repowering/Retrofit,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,OffshoreWind,Alexandria,Virginia,1.02,nearest_same_state,100.4
p100,UtilityPV,Alexandria,Virginia,1.0,nearest_same_state,100.4
p100,Solar PV w/ Single Axis Tracking + AC Coupled Battery Storage,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,"Solar PV, Single-Axis Tracking (1.6 ILR) with Battery Hybrid",Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,Battery_,Alexandria,Virginia,1.01,nearest_same_state,100.4
p100,Utility-Scale Battery Storage,Alexandria,Virginia,1.01,nearest_same_state,100.4
p101,Coal_new,Tallahassee,Florida,0.94,within,0.0
p101,Coal_95%-CCS,Tallahassee,Florida,0.93,within,0.0
p101,Coal_99%-CCS,Tallahassee,Florida,0.93,within,0.0
p101,Coal_Retrofits_95%-CCS,Tallahassee,Florida,0.93,within,0.0
p101,Coal_Retrofits_90%-CCS,Tallahassee,Florida,0.93,within,0.0
p101,Combustion Turbine - Simple Cycle (Aeroderivative),Tallahassee,Florida,0.97,within,0.0
p101,NaturalGas_Combustion Turbine,Tallahassee,Florida,0.96,within,0.0
p101,NaturalGas_F-Frame CT,Tallahassee,Florida,0.96,within,0.0
p101,NaturalGas_Combined Cycle 2-on-1,Tallahassee,Florida,0.95,within,0.0
p101,NaturalGas_F-Frame CC,Tallahassee,Florida,0.95,within,0.0
p101,NaturalGas_H-Frame CC,Tallahassee,Florida,0.95,within,0.0
p101,NaturalGas_Combined Cycle 1-on-1,Tallahassee,Florida,0.95,within,0.0
p101,NaturalGas_Combined Cycle 1-on-1 (H-Frame) 95% CCS,Tallahassee,Florida,0.94,within,0.0
p101,NaturalGas_Combined Cycle 1-on-1 (H-Frame) 97% CCS,Tallahassee,Florida,0.94,within,0.0
p101,NaturalGas_Combined Cycle 2-on-1 (F-Frame) 95% CCS,Tallahassee,Florida,0.94,within,0.0
p101,NaturalGas_Combined Cycle 2-on-1 (F-Frame) 97% CCS,Tallahassee,Florida,0.94,within,0.0
p101,NaturalGas_Combined Cycle 2-on-1 (H-Frame) 95% CCS,Tallahassee,Florida,0.94,within,0.0
p101,NaturalGas_Combined Cycle 2-on-1 (H-Frame) 97% CCS,Tallahassee,Florida,0.94,within,0.0
p101,NaturalGas_F-Frame CC 95% CCS,Tallahassee,Florida,0.94,within,0.0
p101,NaturalGas_H-Frame CC 95% CCS,Tallahassee,Florida,0.94,within,0.0
p101,NaturalGas_F-Frame CC 97% CCS,Tallahassee,Florida,0.94,within,0.0
p101,NaturalGas_H-Frame CC 97% CCS,Tallahassee,Florida,0.94,within,0.0
p101,Biopower_Dedicated,Tallahassee,Florida,0.94,within,0.0
p101,Nuclear_Nuclear,Tallahassee,Florida,0.97,within,0.0
p101,Nuclear_Nuclear - Large,Tallahassee,Florida,0.97,within,0.0
p101,Nuclear_SMR,Tallahassee,Florida,0.97,within,0.0
p101,Nuclear_Nuclear - Small,Tallahassee,Florida,0.97,within,0.0
p101,Geothermal,Tallahassee,Florida,,within,0.0
p101,Hydropower,Tallahassee,Florida,,within,0.0
p101,Pumped Storage Hydropower,Tallahassee,Florida,,within,0.0
p101,LandBasedWind,Tallahassee,Florida,0.96,within,0.0
p101,Onshore Wind Repowering/Retrofit,Tallahassee,Florida,0.98,within,0.0
p101,OffshoreWind,Tallahassee,Florida,,within,0.0
p101,UtilityPV,Tallahassee,Florida,0.97,within,0.0
p101,Solar PV w/ Single Axis Tracking + AC Coupled Battery Storage,Tallahassee,Florida,0.98,within,0.0
p101,"Solar PV, Single-Axis Tracking (1.6 ILR) with Battery Hybrid",Tallahassee,Florida,0.98,within,0.0
p101,Battery_,Tallahassee,Florida,0.99,within,0.0
p101,Utility-Scale Battery Storage,Tallahassee,Florida,0.99,within,0.0
p102,Coal_new,Tampa,Florida,0.96,nearest_same_state,234.13
p102,Coal_95%-CCS,Tampa,Florida,0.95,nearest_same_state,234.13
p102,Coal_99%-CCS,Tampa,Florida,0.95,nearest_same_state,234.13
p102,Coal_Retrofits_95%-CCS,Tampa,Florida,0.95,nearest_same_state,234.13
p102,Coal_Retrofits_90%-CCS,Tampa,Florida,0.95,nearest_same_state,234.13
p102,Combustion Turbine - Simple Cycle (Aeroderivative),Tampa,Florida,0.97,nearest_same_state,234.13
p102,NaturalGas_Combustion Turbine,Tampa,Florida,0.97,nearest_same_state,234.13
p102,NaturalGas_F-Frame CT,Tampa,Florida,0.97,nearest_same_state,234.13
p102,NaturalGas_Combined Cycle 2-on-1,Tampa,Florida,0.96,nearest_same_state,234.13
p102,NaturalGas_F-Frame CC,Tampa,Florida,0.96,nearest_same_state,234.13
p102,NaturalGas_H-Frame CC,Tampa,Florida,0.96,nearest_same_state,234.13
p102,NaturalGas_Combined Cycle 1-on-1,Tampa,Florida,0.96,nearest_same_state,234.13
p102,NaturalGas_Combined Cycle 1-on-1 (H-Frame) 95% CCS,Tampa,Florida,0.95,nearest_same_state,234.13
p102,NaturalGas_Combined Cycle 1-on-1 (H-Frame) 97% CCS,Tampa,Florida,0.95,nearest_same_state,234.13
p102,NaturalGas_Combined Cycle 2-on-1 (F-Frame) 95% CCS,Tampa,Florida,0.95,nearest_same_state,234.13
p102,NaturalGas_Combined Cycle 2-on-1 (F-Frame) 97% CCS,Tampa,Florida,0.95,nearest_same_state,234.13
p102,NaturalGas_Combined Cycle 2-on-1 (H-Frame) 95% CCS,Tampa,Florida,0.95,nearest_same_state,234.13
p102,NaturalGas_Combined Cycle 2-on-1 (H-Frame) 97% CCS,Tampa,Florida,0.95,nearest_same_state,234.13
p102,NaturalGas_F-Frame CC 95% CCS,Tampa,Florida,0.95,nearest_same_state,234.13
p102,NaturalGas_H-Frame CC 95% CCS,Tampa,Florida,0.95,nearest_same_state,234.13
p102,NaturalGas_F-Frame CC 97% CCS,Tampa,Florida,0.95,nearest_same_state,234.13
p102,NaturalGas_H-Frame CC 97% CCS,Tampa,Florida,0.95,nearest_same_state,234.13
p102,Biopower_Dedicated,Tampa,Florida,0.95,nearest_same_state,234.13
p102,Nuclear_Nuclear,Tampa,Florida,0.98,nearest_same_state,234.13
p102,Nuclear_Nuclear - Large,Tampa,Florida,0.98,nearest_same_state,234.13
p102,Nuclear_SMR,Tampa,Florida,0.98,nearest_same_state,234.13
p102,Nuclear_Nuclear - Small,Tampa,Florida,0.98,nearest_same_state,234.13
p102,Geothermal,Tampa,Florida,,nearest_same_state,234.13
p102,Hydropower,Tampa,Florida,,nearest_same_state,234.13
p102,Pumped Storage Hydropower,Tampa,Florida,,nearest_same_state,234.13
p102,LandBasedWind,Tampa,Florida,0.97,nearest_same_state,234.13
p102,Onshore Wind Repowering/Retrofit,Tampa,Florida,0.99,nearest_same_state,234.13
p102,OffshoreWind,Tampa,Florida,,nearest_same_state,234.13
p102,UtilityPV,Tampa,Florida,0.98,nearest_same_state,234.13
p102,Solar PV w/ Single Axis Tracking + AC Coupled Battery Storage,Tampa,Florida,0.98,nearest_same_state,234.13
p102,"Solar PV, Single-Axis Tracking (1.6 ILR) with Battery Hybrid",Tampa,Florida,0.98,nearest_same_state,234.13
p102,Battery_,Tampa,Florida,1.0,nearest_same_state,234.13
p102,Utility-Scale Battery Storage,Tampa,Florida,1.0,nearest_same_state,234.13
p103,Coal_new,Detroit,Michigan,1.11,within,0.0
p103,Coal_95%-CCS,Detroit,Michigan,1.11,within,0.0
p103,Coal_99%-CCS,Detroit,Michigan,1.11,within,0.0
p103,Coal_Retrofits_95%-CCS,Detroit,Michigan,1.11,within,0.0
p103,Coal_Retrofits_90%-CCS,Detroit,Michigan,1.11,within,0.0
p103,Combustion Turbine - Simple Cycle (Aeroderivative),Detroit,Michigan,1.05,within,0.0
p103,NaturalGas_Combustion Turbine,Detroit,Michigan,1.07,within,0.0
p103,NaturalGas_F-Frame CT,Detroit,Michigan,1.07,within,0.0
p103,NaturalGas_Combined Cycle 2-on-1,Detroit,Michigan,1.08,within,0.0
p103,NaturalGas_F-Frame CC,Detroit,Michigan,1.08,within,0.0
p103,NaturalGas_H-Frame CC,Detroit,Michigan,1.08,within,0.0
p103,NaturalGas_Combined Cycle 1-on-1,Detroit,Michigan,1.08,within,0.0
p103,NaturalGas_Combined Cycle 1-on-1 (H-Frame) 95% CCS,Detroit,Michigan,1.09,within,0.0
p103,NaturalGas_Combined Cycle 1-on-1 (H-Frame) 97% CCS,Detroit,Michigan,1.09,within,0.0
p103,NaturalGas_Combined Cycle 2-on-1 (F-Frame) 95% CCS,Detroit,Michigan,1.09,within,0.0
p103,NaturalGas_Combined Cycle 2-on-1 (F-Frame) 97% CCS,Detroit,Michigan,1.09,within,0.0
p103,NaturalGas_Combined Cycle 2-on-1 (H-Frame) 95% CCS,Detroit,Michigan,1.09,within,0.0
p103,NaturalGas_Combined Cycle 2-on-1 (H-Frame) 97% CCS,Detroit,Michigan,1.09,within,0.0
p103,NaturalGas_F-Frame CC 95% CCS,Detroit,Michigan,1.09,within,0.0
p103,NaturalGas_H-Frame CC 95% CCS,Detroit,Michigan,1.09,within,0.0
p103,NaturalGas_F-Frame CC 97% CCS,Detroit,Michigan,1.09,within,0.0
p103,NaturalGas_H-Frame CC 97% CCS,Detroit,Michigan,1.09,within,0.0
p103,Biopower_Dedicated,Detroit,Michigan,1.1,within,0.0
p103,Nuclear_Nuclear,Detroit,Michigan,1.06,within,0.0
p103,Nuclear_Nuclear - Large,Detroit,Michigan,1.06,within,0.0
p103,Nuclear_SMR,Detroit,Michigan,1.06,within,0.0
p103,Nuclear_Nuclear - Small,Detroit,Michigan,1.06,within,0.0
p103,Geothermal,Detroit,Michigan,,within,0.0
p103,Hydropower,Detroit,Michigan,,within,0.0
p103,Pumped Storage Hydropower,Detroit,Michigan,,within,0.0
p103,LandBasedWind,Detroit,Michigan,1.06,within,0.0
p103,Onshore Wind Repowering/Retrofit,Detroit,Michigan,1.04,within,0.0
p103,OffshoreWind,Detroit,Michigan,1.06,within,0.0
p103,UtilityPV,Detroit,Michigan,1.04,within,0.0
p103,Solar PV w/ Single Axis Tracking + AC Coupled Battery Storage,Detroit,Michigan,1.04,within,0.0
p103,"Solar PV, Single-Axis Tracking (1.6 ILR) with Battery Hybrid",Detroit,Michigan,1.04,within,0.0
p103,Battery_,Detroit,Michigan,1.02,within,0.0
p103,Utility-Scale Battery Storage,Detroit,Michigan,1.02,within,0.0
p104,Coal_new,Grand Rapids,Michigan,1.02,nearest_same_state,107.57
p104,Coal_95%-CCS,Grand Rapids,Michigan,1.01,nearest_same_state,107.57
p104,Coal_99%-CCS,Grand Rapids,Michigan,1.01,nearest_same_state,107.57
p104,Coal_Retrofits_95%-CCS,Grand Rapids,Michigan,1.01,nearest_same_state,107.57
p104,Coal_Retrofits_90%-CCS,Grand Rapids,Michigan,1.01,nearest_same_state,107.57
p104,Combustion Turbine - Simple Cycle (Aeroderivative),Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,NaturalGas_Combustion Turbine,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,NaturalGas_F-Frame CT,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,NaturalGas_Combined Cycle 2-on-1,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,NaturalGas_F-Frame CC,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,NaturalGas_H-Frame CC,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,NaturalGas_Combined Cycle 1-on-1,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,NaturalGas_Combined Cycle 1-on-1 (H-Frame) 95% CCS,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,NaturalGas_Combined Cycle 1-on-1 (H-Frame) 97% CCS,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,NaturalGas_Combined Cycle 2-on-1 (F-Frame) 95% CCS,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,NaturalGas_Combined Cycle 2-on-1 (F-Frame) 97% CCS,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,NaturalGas_Combined Cycle 2-on-1 (H-Frame) 95% CCS,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,NaturalGas_Combined Cycle 2-on-1 (H-Frame) 97% CCS,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,NaturalGas_F-Frame CC 95% CCS,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,NaturalGas_H-Frame CC 95% CCS,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,NaturalGas_F-Frame CC 97% CCS,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,NaturalGas_H-Frame CC 97% CCS,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,Biopower_Dedicated,Grand Rapids,Michigan,1.01,nearest_same_state,107.57
p104,Nuclear_Nuclear,Grand Rapids,Michigan,1.01,nearest_same_state,107.57
p104,Nuclear_Nuclear - Large,Grand Rapids,Michigan,1.01,nearest_same_state,107.57
p104,Nuclear_SMR,Grand Rapids,Michigan,1.01,nearest_same_state,107.57
p104,Nuclear_Nuclear - Small,Grand Rapids,Michigan,1.01,nearest_same_state,107.57
p104,Geothermal,Grand Rapids,Michigan,,nearest_same_state,107.57
p104,Hydropower,Grand Rapids,Michigan,,nearest_same_state,107.57
p104,Pumped Storage Hydropower,Grand Rapids,Michigan,,nearest_same_state,107.57
p104,LandBasedWind,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,Onshore Wind Repowering/Retrofit,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,OffshoreWind,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,UtilityPV,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,Solar PV w/ Single Axis Tracking + AC Coupled Battery Storage,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,"Solar PV, Single-Axis Tracking (1.6 ILR) with Battery Hybrid",Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,Battery_,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p104,Utility-Scale Battery Storage,Grand Rapids,Michigan,1.0,nearest_same_state,107.57
p105,Coal_new,Indianapolis,Indiana,1.01,nearest_same_state,113.23
p105,Coal_95%-CCS,Indianapolis,Indiana,1.01,nearest_same_state,113.23
p105,Coal_99%-CCS,Indianapolis,Indiana,1.01,nearest_same_state,113.23
p105,Coal_Retrofits_95%-CCS,Indianapolis,Indiana,1.01,nearest_same_state,113.23
p105,Coal_Retrofits_90%-CCS,Indianapolis,Indiana,1.01,nearest_same_state,113.23
p105,Combustion Turbine - Simple Cycle (Aeroderivative),Indianapolis,Indiana,1.0,nearest_same_state,113.23
p105,NaturalGas_Combustion Turbine,Indianapolis,Indiana,1.0,nearest_same_state,113.23
p105,NaturalGas_F-Frame CT,Indianapolis,Indiana,1.0,nearest_same_state,113.23
p105,NaturalGas_Combined Cycle 2-on-1,Indianapolis,Indiana,1.0,nearest_same_state,113.23
p105,NaturalGas_F-Frame CC,Indianapolis,Indiana,1.0,nearest_same_state,113.23
p105,NaturalGas_H-Frame CC,Indianapolis,Indiana,1.0,nearest_same_state,113.23
p105,NaturalGas_Combined Cycle 1-on-1,Indianapolis,Indiana,0.99,nearest_same_state,113.23
p105,NaturalGas_Combined Cycle 1-on-1 (H-Frame) 95% CCS,Indianapolis,Indiana,0.99,nearest_same_state,113.23
p105,NaturalGas_Combined Cycle 1-on-1 (H-Frame) 97% CCS,Indianapolis,Indiana,0.99,nearest_same_state,113.23
p105,NaturalGas_Combined Cycle 2-on-1 (F-Frame) 95% CCS,Indianapolis,Indiana,0.99,nearest_same_state,113.23
p105,NaturalGas_Combined Cycle 2-on-1 (F-Frame) 97% CCS,Indianapolis,Indiana,0.99,nearest_same_state,113.23
p105,NaturalGas_Combined Cycle 2-on-1 (H-Frame) 95% CCS,Indianapolis,Indiana,0.99,nearest_same_state,113.23
p105,NaturalGas_Combined Cycle 2-on-1 (H-Frame) 97% CCS,Indianapolis,Indiana,0.99,nearest_same_state,113.23
p105,NaturalGas_F-Frame CC 95% CCS,Indianapolis,Indiana,0.99,nearest_same_state,113.23
p105,NaturalGas_H-Frame CC 95% CCS,Indianapolis,Indiana,0.99,nearest_same_state,113.23
p105,NaturalGas_F-Frame CC 97% CCS,Indianapolis,Indiana,0.99,nearest_same_state,113.23
p105,NaturalGas_H-Frame CC 97% CCS,Indianapolis,Indiana,0.99,nearest_same_state,113.23
p105,Biopower_Dedicated,Indianapolis,Indiana,1.0,nearest_same_state,113.23
p105,Nuclear_Nuclear,Indianapolis,Indiana,1.03,nearest_same_state,113.23
p105,Nuclear_Nuclear - Large,Indianapolis,Indiana,1.03,nearest_same_state,113.23
p105,Nuclear_SMR,Indianapolis,Indiana,1.01,nearest_same_state,113.23
p105,Nuclear_Nuclear - Small,Indianapolis,Indiana,1.01,nearest_same_state,113.23
p105,Geothermal,Indianapolis,Indiana,,nearest_same_state,113.23
p105,Hydropower,Indianapolis,Indiana,,nearest_same_state,113.23
p105,Pumped Storage Hydropower,Indianapolis,Indiana,,nearest_same_state,113.23
p105,LandBasedWind,Indianapolis,Indiana,1.02,nearest_same_state,113.23
p105,Onshore Wind Repowering/Retrofit,Indianapolis,Indiana,1.02,nearest_same_state,113.23
p105,OffshoreWind,Indianapolis,Indiana,,nearest_same_state,113.23
p105,UtilityPV,Indianapolis,Indiana,1.0,nearest_same_state,113.23
p105,Solar PV w/ Single Axis Tracking + AC Coupled Battery Storage,Indianapolis,Indiana,1.0,nearest_same_state,113.23
p105,"Solar PV, Single-Axis Tracking (1.6 ILR) with Battery Hybrid",Indianapolis,Indiana,1.0,nearest_same_state,113.23
p105,Battery_,Indianapolis,Indiana,1.02,nearest_same_state,113.23
p105,Utility-Scale Battery Storage,Indianapolis,Indiana,1.02,nearest_same_state,113.23
p106,Coal_new,Indianapolis,Indiana,1.01,within,0.0
p106,Coal_95%-CCS,Indianapolis,Indiana,1.01,within,0.0
p106,Coal_99%-CCS,Indianapolis,Indiana,1.01,within,0.0
p106,Coal_Retrofits_95%-CCS,Indianapolis,Indiana,1.01,within,0.0
p106,Coal_Retrofits_90%-CCS,Indianapolis,Indiana,1.01,within,0.0
p106,Combustion Turbine - Simple Cycle (Aeroderivative),Indianapolis,Indiana,1.0,within,0.0
p106,NaturalGas_Combustion Turbine,Indianapolis,Indiana,1.0,within,0.0
p106,NaturalGas_F-Frame CT,Indianapolis,Indiana,1.0,within,0.0
p106,NaturalGas_Combined Cycle 2-on-1,Indianapolis,Indiana,1.0,within,0.0
